اسم الكتاب,الكاتب,القسم,عدد صفحات الكتاب,اللغه,دار النشر,رابط قراءه الكتاب,ملخص الكتاب
معجزة الذرة,هارون يحيى,متنوعة,136,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%85%d8%b9%d8%ac%d8%b2%d8%a9-%d8%a7%d9%84%d8%b0%d8%b1%d8%a9-pdf/?view=read,كتاب معجزة الذرة للكاتب هارون يحيى أصبح معروفاً اليوم أن هذا العالم الماضية الأجسام وتتألف جميعها من أجزاء غاية في الصغر تسمى ذرات وكل ذرة من هذه الذرات تؤلف نظاماً دقيقاً عجيباً وقف العلماء مذهولين أمام فلهذه الذرات نظام يدير حركة المرور بينما ويسهل عملية الاتصال بينما وقد تبدو الإجابة للوهلة سهلة ولكن ماذا لو علم الإنسان أن كل ذرة من هذه الذرات المفترضة تتألف من جسيمات أخرى أيضا فكيف تتجمع هذه الجسيمات معاً لتكون الذرة من الذي يتحكم بهذه الجسيمات ومن ثم بهذه الذرات كتاب معجزة الذرة
لا تتجاهل,هارون يحيى,الأدب العربي,100,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%a7-%d8%aa%d8%aa%d8%ac%d8%a7%d9%87%d9%84-pdf/?view=read,كتاب لا تتجاهل للكاتب هارون يحيى منذ اللحظة التي يستيقظ فيها الإنسان صباحاً ينغمس بمشاغل لا نهاية لها وبذلك يغفل عن التفكير بموضوع غاية في الأهمية إن المكان الذي يشغله الإنسان في هذا الكون لا وزن له فهو فيه أشبه بذرة رمل في بناء شاهق قد يدهشك هذا الأمر ولكنه حقيقة واضحة لا ريب فيه إذا حاول الإنسان التفكير بجدية عندما تعرض له إحدى الحقائق الهامة ولا يتجاهلها فإنه سيصل إلى نتيجة واحدة في أن كل ما في هذا الكون الواسع من الأحياء والجماعات بما فيها الإنسان نفسه إنما هي جزء من خلق الله العظيم المتقن الإنسان لا يرى خالقه إلا أنه عندما يتأمل كل الآليات التي يجد نفسه محاطاً بها كل يوم سيدرك وجود الله وصفاته ستفتح له محاولاته الصادقة والمخلصة الطريقة لفهم أوامر خالقه وتوصياته والطرق التي تتضمن له كسب رضا وكل إنسان عليه التركيز وعليه ألا يتجاهل تلك الأوضاع المعجزة التي يعيش فيه فهو يعيش في كره تدور حول محورها بسرعة 1670كم/سا، وهذا لا يستوعبه عقل الإنسان المحدود إذا ما تمعن في أنه ورغم تلك الساعة فإن هذه الكرة هي في وضع استقرار تحكمه العديد من التوازنات لجعل الحياة عليها ممكنة مما يشير إلى أن هذا النظام المتقن هو من صنع الخالق العظيم كتاب لا تتجاهل
الحياة في سبيل الله,هارون يحيى,اسلامية,100,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%ad%d9%8a%d8%a7%d8%a9-%d9%81%d9%8a-%d8%b3%d8%a8%d9%8a%d9%84-%d8%a7%d9%84%d9%84%d9%87-pdf/?view=read,كتاب الحياة في سبيل الله للكاتب هارون يحيى يجاهد الإنسان في هذه الحياة للحصول على المكتسبات الدنيوية واضعاً في اعتباره أنها هي هدفه الأسمى في هذه الحياة فهو يسعى جاهداً للحصول على الرفاهية والسعادة الدنيوية التي يصفها القرآن الكريم ثمناً قليلاً هذا الزمن الذي يستنفذ فيه كل طاقاتها لا يلبث أن ينفلت من بين يدي أما المسلم يجاهد في سبيل الحصول على الجزاء الأدنى وهو جنة الله ورضوانه والمسلم لا يأبه بالصعوبات التي يواجهها في جهاده في سبيل الله ولا يتوجه إلى أي شيء خارج مرضاة الله فقد باع نفسه وماله لله مرضاة الله هي التي يسعى إليها فقط ولأنه يعرف أنه ليس هو المالك الحقيقي لما يتصرف به من ممتلكات في هذه الدنيا بما فيها نفسه وأن الله هو المالك الحقيقي لروح وماله فهو يطعمها ويسخرها لله دون أن ينصت لصوت الهوى والنفسي من جهة أخرى يتم اختبار مدى جدية سعي الإنسان وعمل وعلى المسلم ألا يخشى شيئاً عند جهاده كتاب الحياة في سبيل الله
العظمة في كل مكان,هارون يحيى,الأدب العربي,140,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%b9%d8%b8%d9%85%d8%a9-%d9%81%d9%8a-%d9%83%d9%84-%d9%85%d9%83%d8%a7%d9%86-pdf/?view=read,كتاب العظمة في كل مكان للكاتب هارون يحيى لو استقصى الإنسان عن العجب في عمل أجهزته الجسيمة ولو بحث عن حقيقة المجرات السماوية ولو تتبع أثر الأحياء في الطبيعة مهما كل حجمها وصعبت رؤيتها ولو سال عن كيفية التي يتحرك بها كل شيء هذا اللون لوجد حتماً نظاماً متكاملاً مدهشاً مثيراً في عناصره ناطقا بدلته على العامة وهي بلا شك عظمة الله الذي خلق كل شيء ومنبع كل آيات الجمال الذي أبدع هذا الوجود تبارك الله أحسن الخالقين.، كتاب العظمة في كل مكان
معجزة الجهاز المناعي,هارون يحيى,الأدب العربي,133,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%85%d8%b9%d8%ac%d8%b2%d8%a9-%d8%a7%d9%84%d8%ac%d9%87%d8%a7%d8%b2-%d8%a7%d9%84%d9%85%d9%86%d8%a7%d8%b9%d9%8a-pdf/?view=read,كتاب معجزة الجهاز المناعي للكاتب هارون يحيى السبب وراء المرض في معظم الأحيان هو اختراق بعض الأجسام الغريبة لأجسادنا وهذه الكائنات الغريبة صغيرة دقيقة الحجم بحيث تستطيع أن تسبب لنا الموت خلال أسبوع واحد لو لم يكن لدينا آليات لبناء دفاع ضد هذا الغموض لكن الجسم لديه هذه الآلية اللازمة لقتال هذه الكائنات وهى ما تعرف بالجهاز المناعي وهذه الآلية هي بلا جدال أكثر جيوش العالم نظاما و تعقيدًا و نجاحا على الإطلاق إنّ جهازنا المناعي والذي يتكون من جنود مشاة و أجهزة استخباراتية بل ومركز لتكنولوجيا المعلومات بإمكانه أن يحتفظ بسجل أعدائنا و للمعارك التي دارت مع هذه الميكروبات على مدى الحياة في كتاب معجزة الجهاز المناعي
معجزة الجهاز المناعي,هارون يحيى,طبية,133,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%85%d8%b9%d8%ac%d8%b2%d8%a9-%d8%a7%d9%84%d8%ac%d9%87%d8%a7%d8%b2-%d8%a7%d9%84%d9%85%d9%86%d8%a7%d8%b9%d9%8a-pdf/?view=read,كتاب معجزة الجهاز المناعي للكاتب هارون يحيى السبب وراء المرض في معظم الأحيان هو اختراق بعض الأجسام الغريبة لأجسادنا وهذه الكائنات الغريبة صغيرة دقيقة الحجم بحيث تستطيع أن تسبب لنا الموت خلال أسبوع واحد لو لم يكن لدينا آليات لبناء دفاع ضد هذا الغموض لكن الجسم لديه هذه الآلية اللازمة لقتال هذه الكائنات وهى ما تعرف بالجهاز المناعي وهذه الآلية هي بلا جدال أكثر جيوش العالم نظاما و تعقيدًا و نجاحا على الإطلاق إنّ جهازنا المناعي والذي يتكون من جنود مشاة و أجهزة استخباراتية بل ومركز لتكنولوجيا المعلومات بإمكانه أن يحتفظ بسجل أعدائنا و للمعارك التي دارت مع هذه الميكروبات على مدى الحياة في كتاب معجزة الجهاز المناعي
الرومنسية سلاح بيد الشيطان,هارون يحيى,اسلامية,139,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%b1%d9%88%d9%85%d9%86%d8%b3%d9%8a%d8%a9-%d8%b3%d9%84%d8%a7%d8%ad-%d8%a8%d9%8a%d8%af-%d8%a7%d9%84%d8%b4%d9%8a%d8%b7%d8%a7%d9%86-pdf/?view=read,كتاب الرومنسية سلاح بيد الشيطان للكاتب هارون يحيى هارون يحيى هو اسم كبير فى عالم الفكر والأدب يثرى المكتبة العربية بكتاب من أفضل ما كتب فى رأى كثير من قرائتها يتحدث كتاب الرومانسية سلاح بيد الشيطان عن خطر الذى تشكله الرومانسية على الأفراد و المجتماعات وكيف يتلاعب الشيطان بالناس تحت غطائها لا يتناول الكتاب فقط حب الأفراد بل يتناول حب الوطن و المعتقدات كتاب الرومنسية سلاح بيد الشيطان
التصميم في الطبيعة,هارون يحيى,اسلامية,192,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%aa%d8%b5%d9%85%d9%8a%d9%85-%d9%81%d9%8a-%d8%a7%d9%84%d8%b7%d8%a8%d9%8a%d8%b9%d8%a9-pdf/?view=read,كتاب التصميم في الطبيعة للكاتب هارون يحيى قال داروين إذا تمت البرهنة على عدم وجود أي عضو معقد تشكل عبر تعديلات ضخمة ومتتالية فإن نظريتي ستنسف من أساسها عندما تقرأ هذا الكتاب سترى أن نظرية داروين قد نسفت من أساسها فعلاً وصدقت مخاوفه إن المخلوقات في الطبيعة تحمل بني غاية في العقيدة التأمل الدقيق في رياش الطيور ونظام السونار لدى الخفاش أو بنية الجناح عند الطائر يكشف عن أنظمة معقدة ومدهشة تبلغنا هذه الأنظمة رسالة واضحة وهي أن الله هو الذي أتقن كل شيء خلقه كتاب التصميم في الطبيعة
معجزة خلق الإنسان,هارون يحيى,اسلامية,185,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%85%d8%b9%d8%ac%d8%b2%d8%a9-%d8%ae%d9%84%d9%82-%d8%a7%d9%84%d8%a5%d9%86%d8%b3%d8%a7%d9%86-pdf/?view=read,كتاب معجزة خلق الإنسان للكاتب هارون يحيى يعد جسم الإنسان أعقد آلة وأعقد جهاز على سطح الأرض فنحن طوال حياتنا نرى بهذا الجسم ونسمع ونتنفس ونمشي ونركز وتذوق طعم اللذائذ . ويملك هذا الجسم بنظامه وعضلاته وشرايين وأوردته بأعضائه الداخلية نظاماً تخطيطاً دقيقاً وكلما نزلنا إلى التفصيلات الدقيقة لهذا النظام ولهذا التخطيط قابلتنا حقائق مدهشة . وعلى الرغم من الاختلاف الذي يبدو للوهلة الأولى بين الأقسام والأجزاء المختلفة للجسم فإنها تتكون جميعها من اللبنة نفسها ألا وهي الخلية في كتاب معجزة خلق الإنسان
لغز سرقة البنسيون,محمود سالم,روايات بوليسية,58,عربي,هنداوي,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d8%b3%d8%b1%d9%82%d8%a9-%d8%a7%d9%84%d8%a8%d9%86%d8%b3%d9%8a%d9%88%d9%86-pdf-2/?view=read,محمود سالم
لغز كلب البحر,محمود سالم,روايات بوليسية,58,عربي,هنداوي,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d9%83%d9%84%d8%a8-%d8%a7%d9%84%d8%a8%d8%ad%d8%b1-pdf-2/?view=read,محمود سالم
لغز ملك الشطرنج,محمود سالم,روايات بوليسية,56,عربي,هنداوي,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%84%d8%ba%d8%b2-%d9%85%d9%84%d9%83-%d8%a7%d9%84%d8%b4%d8%b7%d8%b1%d9%86%d8%ac-pdf-2/?view=read,محمود سالم
هدم نظرية التطور في عشرين سؤالا,هارون يحيى,اسلامية,154,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%87%d8%af%d9%85-%d9%86%d8%b8%d8%b1%d9%8a%d8%a9-%d8%a7%d9%84%d8%aa%d8%b7%d9%88%d8%b1-%d9%81%d9%8a-%d8%b9%d8%b4%d8%b1%d9%8a%d9%86-%d8%b3%d8%a4%d8%a7%d9%84%d8%a7-pdf/?view=read,كتاب هدم نظرية التطور في عشرين سؤالاً للكاتب هارون يحيى م تناول النتائج الاجتماعية لنظرية التطور في كتب أخرى للمؤلف انظر كتب هارون يحيى التي تحمل عناوين المصائب التي جلبتها نظرية التطور للإنسانية الشيوعية تترقب وتتهيأ السحر المظلم للداروينية”، الداروينية دين وقد كشفت تلك الكتب أن هذه النظرة التي تدعي أنها “علمية”، ليس لها أي أساس علمي على الإطلاق وأنها عبارة عن سيناريو يدافع عنه مؤيدوه بتعنت على الرغم من كل الحقائق وهو لا يعدو أن يكون مجرد خرافات كتاب هدم نظرية التطور في عشرين سؤالاً
هدم نظرية التطور في عشرين سؤالا,هارون يحيى,الفلسفة والمنطق,154,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%87%d8%af%d9%85-%d9%86%d8%b8%d8%b1%d9%8a%d8%a9-%d8%a7%d9%84%d8%aa%d8%b7%d9%88%d8%b1-%d9%81%d9%8a-%d8%b9%d8%b4%d8%b1%d9%8a%d9%86-%d8%b3%d8%a4%d8%a7%d9%84%d8%a7-pdf/?view=read,كتاب هدم نظرية التطور في عشرين سؤالاً للكاتب هارون يحيى م تناول النتائج الاجتماعية لنظرية التطور في كتب أخرى للمؤلف انظر كتب هارون يحيى التي تحمل عناوين المصائب التي جلبتها نظرية التطور للإنسانية الشيوعية تترقب وتتهيأ السحر المظلم للداروينية”، الداروينية دين وقد كشفت تلك الكتب أن هذه النظرة التي تدعي أنها “علمية”، ليس لها أي أساس علمي على الإطلاق وأنها عبارة عن سيناريو يدافع عنه مؤيدوه بتعنت على الرغم من كل الحقائق وهو لا يعدو أن يكون مجرد خرافات كتاب هدم نظرية التطور في عشرين سؤالاً
فن التأمل,هارون يحيى,الأدب العربي,68,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%81%d9%86-%d8%a7%d9%84%d8%aa%d8%a3%d9%85%d9%84-pdf/?view=read,كتاب فن التأمل للكاتب هارون يحيى الهدف من هذا الكتاب هو دعوة الناس على التفكير كما ينبغي وإبراز الوسائل التي تساعدهم على ذلك فالانسان الذي لا يتفكر يبقى بعيداً كليّاً عن إدراك الحقائق ويعيش حياةً قوامها الإثم وخداع الذاتي وبالتالي فإنه لن يتوصل الى مراد الله من خلق الكون ولن يدرك سبب وجوده على الأرض فالله سبحانه وتعالى خلق كل شيء بسبب وهذه حقيقة ذكرها عز وجل في القرآن الكريم بقوله ما خَلَقْنَا السَّمَاوَاتِ وَالْأَرْضَ وَمَا بَيْنَهُمَا لَاعِبِينَ{38} مَا خَلَقْنَاهُمَا إِلَّا بِالْحَقِّ وَلَكِنَّ أَكْثَرَهُمْ لَا يَعْلَمُونَ{39} صورة الدخان كتاب فن التأمل
الأمم البائدة,هارون يحيى,الثقافة العامة,162,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%a3%d9%85%d9%85-%d8%a7%d9%84%d8%a8%d8%a7%d8%a6%d8%af%d8%a9-pdf/?view=read,كتاب الأمم البائدة للكاتب هارون يحيى من المؤكد أن قصص العابرين التي تشغل حيزاً كبيراً من القرآن هي من المواضيع القرآنية المهمة التي ينبغي أن نتأملها ونتفكر فيها وهؤلاء الغابرون هم في معظمهم أقوام كذبوا الرسل الذين جاؤوهم الرسالة بل مناصبهم العداء أيضاً وبسبب عندهم وتكبرهم استحقوا العقاب الإلهي فأحيلوا عن وجه الأرض وقد أخبرنا القرآن الكريم بأن حالات التدمير هذه إن هي إلا عبرة للأمم التالية وفي هذا الكتاب يستعرض المؤلف قصص بعض الأمم السابقة التي هلكت بسبب عصيانها لله عزّ وجل والهدف تأمل أحداث الدمار التي لحقت بتلك الأمم وعرض الآيات القرآنية التي تعرضت لوصف تلك الأحداث مع إسقاطها على الأقوام المعاصرة والأمم التي تعيش في هذا الزمن حيث يكشف المؤلف عن مدى التطابق بين هذه وتلك الأقوام الغابرة عصيانها وبما ارتكبته من آثار هذا وغن معظم أحداث الدمار التي رواها لنا القرآن الكريم قد أصبحت ظاهرة عادية للعيان وأمكن تحديدا ويعود الفضل في ذلك إلى الكشوف والدراسات الأثرية كتاب الأمم البائدة
الأمم البائدة,هارون يحيى,الأدب العربي,162,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d8%a3%d9%85%d9%85-%d8%a7%d9%84%d8%a8%d8%a7%d8%a6%d8%af%d8%a9-pdf/?view=read,كتاب الأمم البائدة للكاتب هارون يحيى من المؤكد أن قصص العابرين التي تشغل حيزاً كبيراً من القرآن هي من المواضيع القرآنية المهمة التي ينبغي أن نتأملها ونتفكر فيها وهؤلاء الغابرون هم في معظمهم أقوام كذبوا الرسل الذين جاؤوهم الرسالة بل مناصبهم العداء أيضاً وبسبب عندهم وتكبرهم استحقوا العقاب الإلهي فأحيلوا عن وجه الأرض وقد أخبرنا القرآن الكريم بأن حالات التدمير هذه إن هي إلا عبرة للأمم التالية وفي هذا الكتاب يستعرض المؤلف قصص بعض الأمم السابقة التي هلكت بسبب عصيانها لله عزّ وجل والهدف تأمل أحداث الدمار التي لحقت بتلك الأمم وعرض الآيات القرآنية التي تعرضت لوصف تلك الأحداث مع إسقاطها على الأقوام المعاصرة والأمم التي تعيش في هذا الزمن حيث يكشف المؤلف عن مدى التطابق بين هذه وتلك الأقوام الغابرة عصيانها وبما ارتكبته من آثار هذا وغن معظم أحداث الدمار التي رواها لنا القرآن الكريم قد أصبحت ظاهرة عادية للعيان وأمكن تحديدا ويعود الفضل في ذلك إلى الكشوف والدراسات الأثرية كتاب الأمم البائدة
المعجزات القرآنية,هارون يحيى,اسلامية,99,عربي,عدنان أوكطار,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%a7%d9%84%d9%85%d8%b9%d8%ac%d8%b2%d8%a7%d8%aa-%d8%a7%d9%84%d9%82%d8%b1%d8%a2%d9%86%d9%8a%d8%a9-pdf/?view=read,كتاب المعجزات القرآنية للكاتب هارون يحيى منذ أربعة عشر قرناً أنزل الله سبحانه وتعالى القرآن الكريم ليكون هادياً لبني البشر ودعا الناس إلى الاهتداء بهذا الكتاب للوصول إلى النجاح ومنذ اليوم الذي أنزل فيه الوحي وحتى يوم القيامة سيبقى آخر الكتب المقدسة المرشد الوحيد للإنسانية كتاب المعجزات القرآنية
خديعة التطور,هارون يحيى,الفلسفة والمنطق,258,عربي,هارون يحي,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d8%ae%d8%af%d9%8a%d8%b9%d8%a9-%d8%a7%d9%84%d8%aa%d8%b7%d9%88%d8%b1-pdf/?view=read,كتاب خديعة التطور للكاتب هارون يحيى تشكل نظرية التطور ما يمكن أن نسميه بالأساس العلمي للمادية الذي اعتمد عليه المذهب الشيعي فمن خلال اتخاذها نظرية التطور أساساً مرجعاً تسعى الشيوعية إلى تبرير نفسها وتقديم مذهبها على أنه سليم صحيح ولهذا السبب كتب كارل ماركس مؤسس الشيوعية عن كتاب دارون أصل الأنواع الذي وضع أسس نظرية التطور وهذا الكتاب الذي يحتوي على الأسس التاريخية والطبيعية أفكارنا وآرائنا”. وفي الواقع فإن الانهيار الواضح للأفكار المادية من كل نوع وفي مقدمتها أفكار كارل ماكس يعود إلى أن نظرية التطور الذي يكفي حقيقة الأمر عقيدة تكونت في القرن التاسع عشر وتأسست عليها المادة كتاب خديعة التطور
نداء الفطرة لدى الرجل والمرأة,سلمان العودة,اسلامية,24,عربي,الإسلام اليوم,https://www.arab-books.com/books/%d9%83%d8%aa%d8%a7%d8%a8-%d9%86%d8%af%d8%a7%d8%a1-%d8%a7%d9%84%d9%81%d8%b7%d8%b1%d8%a9-%d9%84%d8%af%d9%89-%d8%a7%d9%84%d8%b1%d8%ac%d9%84-%d9%88%d8%a7%d9%84%d9%85%d8%b1%d8%a3%d8%a9-pdf/?view=read,كتاب نداء الفطرة لدى الرجل والمرأة للكاتب سلمان العودة يدور الكتاب حول الأشياء التي فطر الإنسان عليه موقف الإسلام منها في ثم موقف الجاهلية والمناهج المنحرفة بشكل بسيط مختصر كتاب نداء الفطرة لدى الرجل والمرأة
